_
NC State,Arizona
Bradley,Missouri S&T
Cal Poly,Col Charleston
Marshall,NC Central
Northern Iowa,SMU
Tennessee,Purdue
C Michigan,Sam Houston St
Texas St,Ark Pine Bluff
Idaho,Santa Clara
North Texas,Rogers St
Villanova,WKU
E Washington,E Kentucky
N Illinois,Manhattan
Iowa,UAB
Binghamton,CS Northridge
Missouri St,FL Atlantic
Chaminade,California
S Dakota St,Buffalo
Montana St,SE Missouri St
Prairie View,Georgia St
Michigan,VA Commonwealth
Penn,Missouri KC
ULL,Richmond
Fresno St,George Mason
Vermont,ME Ft Kent
Cincinnati,Wyoming
Towson,Ga Southern
Marquette,LSU
Louisiana Tech,Evansville
Mississippi,Rice
Notre Dame,Wichita St
CS Bakersfield,AK Anchorage
UNLV,Utah
Navy,Washington MD
Coastal Car,St Andrew's
Texas,Butler
UMBC,Chicago St
Duke,Portland St
Hampton,Northern Arizona
North Carolina,Portland
Virginia,Vanderbilt
San Diego St,CS Sacramento
Rider,UC Irvine
UCF,Nebraska
Nicholls St,Presbyterian
Connecticut,Oregon
Michigan St,DePaul
Florida,Stanford
Xavier,G Washington
Georgia,CS Fullerton
Gonzaga,Ohio St
St Mary's CA,Harvard
Arizona St,Kansas St
Arkansas,Oklahoma
West Virginia,Marist
Missouri,Long Beach St
St John's,Oregon St
Rhode Island,Seton Hall
Washington St,St Joseph's PA
Villanova,Tennessee
Northern Iowa,NC State
WKU,Purdue
Col Charleston,Sam Houston St
SMU,Arizona
AK Anchorage,Santa Clara
Bowling Green,SC Upstate
Abilene Chr,Campbell
Clemson,TX Southern
Central Conn,Cleveland St
Jacksonville,Fairfield
Florida St,Citadel
Georgia Tech,North Texas
Bryant,Hartford
Indiana,E Michigan
Louisville,St Francis PA
Navy,St Francis NY
Charlotte,High Point
Ohio,Mt St Mary's
Penn St,Oral Roberts
Rutgers,East Carolina
South Florida,Arkansas St
Cornell,Toledo
Wake Forest,UNC Greensboro
Wright St,Gardner Webb
FL Gulf Coast,Denver
Auburn,Winthrop
E Illinois,Fontbonne
Illinois,NC Central
Kansas,Oakland
New Orleans,Spring Hill
Northwestern,Sacred Heart
Robert Morris,Norfolk St
SE Louisiana,Samford
Missouri St,Evangel
UT San Antonio,TAM C. Christi
Texas A&M,Pepperdine
WI Green Bay,Florida A&M
Wisconsin,WI Milwaukee
N Colorado,Youngstown St
South Dakota,Southern Miss
Colorado St,Northwestern LA
Utah,E Washington
Canisius,Texas St
Pacific,Ark Pine Bluff
UC Santa Barbara,Prairie View
Washington,Seattle
Nevada,Hawaii
Niagara,Alabama A&M
Loyola-Chicago,UNC Wilmington
Tennessee Tech,NE Omaha
Furman,New Hampshire
Valparaiso,Kent
St Bonaventure,Maryland
Minnesota,Massachusetts
TCU,New Mexico
Utah St,Northeastern
UT Arlington,W Carolina
Alabama,BYU
MD E Shore,Jackson St
Missouri,St John's
Villanova,Northern Iowa
Presbyterian,Chicago St
Washington St,St Mary's CA
Long Beach St,Oregon St
UC Irvine,Northern Arizona
UMBC,Nicholls St
Tennessee,NC State
Butler,Portland St
North Carolina,Arkansas
Harvard,St Joseph's PA
West Virginia,UCF
Arizona St,Xavier
Duke,Texas
Oklahoma,Portland
San Diego St,Georgia
WKU,SMU
Virginia,Rhode Island
Nebraska,Marist
Kansas St,G Washington
Ohio St,Stanford
Purdue,Arizona
C Michigan,Cal Poly
Oregon,DePaul
CS Fullerton,CS Sacramento
Seton Hall,Vanderbilt
Rider,Hampton
Florida,Gonzaga
Michigan St,Connecticut
CS Bakersfield,Idaho
American Univ,VMI
Appalachian St,Davidson
Brown,Long Island
Bowling Green,Campbell
Colgate,Columbia
Dayton,Akron
Detroit,Siena Hts
ETSU,IPFW
E Kentucky,Asbury
Albany NY,Holy Cross
Ball St,Indiana St
Liberty,Toccoa Falls
Miami FL,North Florida
Penn,Monmouth NJ
Pittsburgh,Lehigh
Providence,Boston College
Radford,James Madison
Georgetown,Richmond
Siena,Hofstra
Denver,St Francis NY
Chattanooga,TN Wesleyan
Virginia Tech,Morehead St
William & Mary,Old Dominion
Wright St,Jacksonville
Vermont,Yale
Fairfield,Gardner Webb
NJIT,Drexel
SC Upstate,Abilene Chr
Tennessee St,Kennesaw
FL Gulf Coast,Navy
Robert Morris,Ark Little Rock
Bradley,Ga Southern
Creighton,SIUE
Houston,Incarnate Word
Charleston So,Illinois St
Iowa St,W Illinois
Memphis,N Kentucky
Murray St,S Illinois
Rice,St Thomas TX
SE Louisiana,MS Valley St
Southern Miss,Youngstown St
Texas Tech,Savannah St
Tulsa,Cent Arkansas
Utah Valley,North Dakota
N Dakota St,Stetson
N Colorado,South Dakota
Boise St,Loy Marymount
San Diego,Grand Canyon
New Mexico St,UTEP
Weber St,Black Hills St
Canisius,Ark Pine Bluff
UNLV,Southern Utah
Texas St,Pacific
McNeese St,Southern N.O.
Grambling,UTRGV
Loyola-Chicago,Kent
W Michigan,Northwood MI
Delaware St,Georgian Court
Furman,Northeastern
BYU,Massachusetts
Minnesota,Alabama
Valparaiso,UNC Wilmington
Utah St,New Hampshire
Jackson St,NE Omaha
Tennessee Tech,MD E Shore
Bethune-Cookman,Florida Col
Maryland,New Mexico
Sam Houston St,Santa Clara
W Carolina,Alabama A&M
Col Charleston,AK Anchorage
UT Arlington,Niagara
TCU,St Bonaventure
Idaho,Cal Poly
C Michigan,CS Bakersfield
Alcorn St,Concordia AL
Abilene Chr,Bowling Green
Campbell,SC Upstate
Navy,Denver
NC A&T,East Carolina
Princeton,F Dickinson
Fordham,Manhattan
Georgia St,Tulane
Wagner,Hartford
Jacksonville,Gardner Webb
Kentucky,IL Chicago
St Peter's,Lafayette
La Salle,Temple
Mercer,Hiwassee
Michigan,UC Riverside
UNC Asheville,Wofford
E Michigan,South Florida
Bucknell,Stony Brook
Winthrop,S Carolina St
Wright St,Fairfield
Maine,Quinnipiac
Longwood,NC Wesleyan
Binghamton,Hartwick
FL Gulf Coast,St Francis NY
MA Lowell,Loyola MD
Brown,Bryant
Ark Little Rock,Norfolk St
Austin Peay,Miami OH
UAB,Mississippi Col
Drake,Chicago St
Mississippi St,Jacksonville St
ULM,Rust
N Colorado,Southern Miss
Oklahoma St,Houston Bap
Samford,MS Valley St
NC Central,SE Missouri St
South Alabama,New Orleans
SF Austin,Florida A&M
Missouri KC,TN Martin
South Dakota,Youngstown St
S Dakota St,Dakota St
Colorado,Air Force
Montana,Carroll MT
Wyoming,NM Highlands
Fresno St,Montana St
Pacific,Canisius
UCLA,UC Irvine
Texas A&M,USC
Washington,UC Davis
Marshall,Concord
Boston Univ,Wheaton MA
St John's,UCF
Gonzaga,Texas
Oklahoma,Oregon
St Joseph's PA,CS Sacramento
Nebraska,Long Beach St
Arkansas,Connecticut
Butler,Ohio St
Georgia,St Mary's CA
